case_id,transaction_amount,customer_order_count,previous_refunds,previous_disputes,delivery_confirmed,delivery_delay_days,dispute_delay_days,customer_avg_order_value,communication_count,refund_amount_ratio,payment_failures,evidence_items_available,evidence_items_missing,dispute_reason,contest_success
CASE-0069,258.67,2,3,0,1,14,10,571.69,2,0.167,1,4,2,item_not_received,1
CASE-0070,85085.91,32,0,1,1,0,16,112049.76,2,0.129,0,4,2,defective,1
CASE-0071,329.35,13,0,0,1,0,71,682.64,4,0.121,0,5,1,unauthorized,1
CASE-0072,374.48,5,1,0,1,5,8,472.47,12,0.3,0,6,0,unauthorized,1
CASE-0073,88561.97,15,1,0,1,0,56,167497.67,2,0.142,0,3,3,item_not_received,0
CASE-0074,140029.35,3,0,2,0,1,3,331697.76,2,0.184,0,3,3,duplicate,0
CASE-0075,137323.7,8,2,3,1,4,14,194425.4,1,0.389,0,5,1,unauthorized,0
CASE-0076,15441.17,2,6,0,0,0,26,28300.5,0,1.0,0,3,3,unauthorized,0
CASE-0077,142525.6,11,2,0,1,0,33,299641.64,10,0.231,5,5,1,duplicate,1
CASE-0078,10938.17,15,0,0,0,24,64,10285.28,4,0.223,1,4,2,defective,0
CASE-0079,124756.2,6,0,0,1,0,58,242080.12,8,0.361,0,3,3,defective,0
CASE-0080,9079.43,21,0,0,1,26,5,5510.28,0,0.135,2,4,2,unauthorized,1
CASE-0081,8013.69,16,1,2,1,25,3,5694.98,0,0.51,2,5,1,duplicate,0
CASE-0082,129345.61,43,3,1,1,0,3,68205.27,1,0.243,0,3,3,duplicate,0
CASE-0083,10864.33,3,0,0,0,4,2,16612.47,1,0.049,5,3,3,other,0
CASE-0084,1430.92,1,0,0,1,0,12,1614.41,1,0.11,0,6,0,defective,1
CASE-0085,2652.0,3,0,0,1,0,10,2715.55,0,0.234,3,4,2,defective,0
CASE-0086,19947.24,1,2,0,1,3,3,43478.28,4,0.516,0,6,0,defective,1
CASE-0087,778.85,86,0,0,0,12,1,1564.49,6,0.103,4,5,1,defective,0
CASE-0088,36663.67,60,1,1,1,0,5,30461.85,3,0.309,0,4,2,unauthorized,0
CASE-0089,352.07,9,5,1,1,23,12,287.39,2,0.273,1,4,2,defective,1
CASE-0090,69363.51,16,0,4,1,19,9,114597.79,3,0.158,0,5,1,duplicate,1
CASE-0091,1502.41,5,0,1,0,24,5,1950.05,10,0.373,0,1,5,other,0
CASE-0092,6593.36,1,0,0,1,0,2,4777.66,0,0.121,0,4,2,defective,1
CASE-0093,13510.9,1,0,0,1,0,33,13330.21,14,0.118,0,4,2,item_not_received,1
CASE-0094,207.85,4,1,0,1,0,20,382.41,1,0.302,6,5,1,other,1
CASE-0095,12623.84,2,0,1,1,0,25,9198.27,2,0.088,0,4,2,other,1
CASE-0096,16434.32,1,0,0,1,0,5,30098.73,2,0.058,0,3,3,other,1
CASE-0097,1396.35,7,0,0,0,13,20,3387.34,2,0.029,4,3,3,defective,0
CASE-0098,725.41,2,0,2,1,27,9,573.57,1,0.12,1,5,1,item_not_received,1
CASE-0099,1592.93,5,1,1,1,0,11,2568.04,1,0.122,0,4,2,duplicate,1
CASE-0100,12022.98,13,0,4,1,20,6,21909.54,0,0.213,0,6,0,item_not_received,1
CASE-0101,130536.88,12,0,0,0,20,16,199292.86,0,0.362,0,3,3,item_not_received,0
CASE-0102,1445.38,70,0,0,0,23,7,2955.29,2,0.078,0,1,5,unauthorized,0
CASE-0103,15495.13,16,0,2,1,6,24,33767.69,4,0.111,2,2,4,defective,1
CASE-0104,87711.43,6,0,1,1,0,29,58032.79,12,0.295,0,5,1,duplicate,1
CASE-0105,58020.8,12,3,6,1,15,25,124271.47,7,0.486,1,5,1,item_not_received,0
CASE-0106,58037.3,46,0,1,0,9,6,34013.05,0,0.093,0,1,5,defective,0
CASE-0107,78618.98,47,2,0,0,5,20,34276.8,0,0.467,0,4,2,item_not_received,0
CASE-0108,3492.85,4,5,1,1,0,11,5472.62,1,0.708,0,5,1,item_not_received,1
CASE-0109,8865.38,14,0,0,1,0,27,16006.2,0,0.147,1,1,5,other,1
CASE-0110,126564.48,4,2,7,1,0,6,239766.24,4,0.391,2,6,0,item_not_received,0
CASE-0111,670.98,1,0,2,1,0,47,1620.26,9,0.136,6,3,3,item_not_received,0
CASE-0112,598.81,6,2,0,1,0,1,387.06,1,0.345,0,4,2,unauthorized,1
CASE-0113,1501.28,17,2,0,1,0,22,1385.01,1,0.279,0,6,0,item_not_received,1
CASE-0114,10459.38,47,2,1,1,0,6,26126.36,0,0.599,1,3,3,unauthorized,0
CASE-0115,1141.7,4,0,2,1,0,35,1716.47,4,0.255,0,4,2,unauthorized,1
CASE-0116,4499.32,16,0,0,1,0,5,3239.27,0,0.215,0,3,3,other,1
CASE-0117,433.51,10,0,3,1,0,5,182.29,1,0.135,0,3,3,item_not_received,1
CASE-0118,225.43,6,6,0,1,0,10,198.45,14,0.584,0,4,2,defective,1
CASE-0119,11195.79,2,0,0,0,26,3,26133.55,4,0.084,1,2,4,unauthorized,0
CASE-0120,35441.03,78,0,0,1,0,25,55386.01,1,0.041,5,4,2,unauthorized,1
CASE-0121,109278.01,9,6,1,0,2,28,231781.88,3,0.923,0,2,4,other,0
CASE-0122,13282.69,2,7,2,1,0,7,11442.5,2,0.771,0,5,1,other,1
CASE-0123,9274.78,18,0,0,1,28,22,5381.69,4,0.059,0,5,1,item_not_received,1
CASE-0124,16512.17,1,0,1,1,0,12,11693.15,0,0.053,0,5,1,item_not_received,1
CASE-0125,69959.87,13,0,2,1,15,88,73357.69,0,0.141,5,4,2,item_not_received,1
CASE-0126,82206.62,2,0,0,0,29,29,48129.17,0,0.065,0,2,4,item_not_received,0
CASE-0127,1995.16,34,2,0,0,23,56,4056.74,3,0.294,0,2,4,item_not_received,1
CASE-0128,86465.13,1,0,6,0,13,61,60731.98,4,0.189,0,2,4,defective,0
CASE-0129,7112.1,1,0,0,1,0,13,15308.39,3,0.135,0,4,2,defective,1
CASE-0130,97420.77,2,0,0,1,22,6,138673.93,0,0.086,0,4,2,item_not_received,1
CASE-0131,733.5,90,0,0,1,0,26,1285.82,4,0.208,0,5,1,item_not_received,1
CASE-0132,2728.98,2,8,1,0,21,2,5476.59,1,0.759,0,3,3,unauthorized,0
CASE-0133,44403.07,9,0,0,1,0,1,21602.29,9,0.251,0,6,0,unauthorized,1
CASE-0134,2533.37,61,1,0,1,0,2,4918.36,4,0.162,1,6,0,item_not_received,1
CASE-0135,1727.6,12,1,2,0,29,18,3876.41,4,0.142,0,0,6,item_not_received,0
CASE-0136,391.49,6,0,0,1,0,11,892.25,4,0.213,0,6,0,item_not_received,1
CASE-0137,55482.18,2,0,1,1,0,77,29749.82,0,0.054,0,5,1,duplicate,1
CASE-0138,30081.72,3,2,0,1,0,26,25209.63,9,0.276,2,6,0,other,1
CASE-0139,99546.3,3,3,0,1,0,5,103581.46,3,0.746,0,6,0,other,1
CASE-0140,2655.78,2,3,0,0,6,54,1177.77,4,0.423,2,4,2,unauthorized,0
CASE-0141,347.46,19,6,2,1,9,3,834.54,0,0.408,0,4,2,item_not_received,1
CASE-0142,1113.88,8,3,0,1,29,3,1348.65,12,0.63,1,5,1,item_not_received,1
CASE-0143,37758.57,49,0,0,1,0,19,84944.71,7,0.296,0,6,0,unauthorized,1
CASE-0144,469.52,3,0,0,1,0,19,637.61,1,0.109,2,5,1,defective,0
CASE-0145,16668.24,18,0,0,1,0,22,15513.51,3,0.113,2,4,2,defective,1
CASE-0146,14440.38,3,9,0,0,7,10,12074.08,0,1.0,0,3,3,item_not_received,0
CASE-0147,759.33,3,0,1,0,14,3,509.1,4,0.232,0,3,3,unauthorized,0
CASE-0148,11117.81,67,3,2,1,0,4,3517.72,0,0.368,2,5,1,defective,1
CASE-0149,6059.42,4,3,0,1,0,4,14107.7,2,0.605,0,5,1,unauthorized,1
CASE-0150,73768.41,4,3,0,0,10,19,156494.75,3,0.695,0,2,4,item_not_received,0
CASE-0151,2967.94,13,1,0,1,15,6,2323.63,9,0.264,0,3,3,unauthorized,1
CASE-0152,358.33,5,0,7,1,0,21,396.32,0,0.065,0,6,0,item_not_received,1
CASE-0153,88961.77,13,2,3,1,0,24,77047.14,0,0.208,0,4,2,item_not_received,1
CASE-0154,420.81,6,0,0,0,5,28,785.85,0,0.28,0,2,4,item_not_received,0
CASE-0155,15531.07,10,2,0,0,25,12,34380.89,1,0.336,1,2,4,unauthorized,0
CASE-0156,11986.86,70,2,7,1,0,26,19771.01,4,0.163,0,5,1,item_not_received,1
CASE-0157,1341.53,93,0,1,1,0,16,2453.85,11,0.249,0,5,1,item_not_received,1
CASE-0158,1870.95,2,9,5,1,26,1,4665.14,2,1.0,1,4,2,item_not_received,0
CASE-0159,8978.2,6,0,0,1,0,15,17099.62,0,0.06,0,5,1,defective,1
CASE-0160,143584.35,14,0,0,0,7,1,341254.73,0,0.194,1,3,3,unauthorized,0
CASE-0161,5454.61,6,1,0,1,0,5,12970.29,4,0.218,0,3,3,item_not_received,1
CASE-0162,62044.5,2,0,0,1,5,3,73215.92,2,0.08,4,6,0,item_not_received,1
CASE-0163,144093.82,47,0,1,1,14,30,217464.08,1,0.068,0,5,1,item_not_received,1
CASE-0164,1872.99,18,0,0,1,0,14,1090.0,1,0.023,2,6,0,defective,1
CASE-0165,13404.87,13,6,0,1,0,17,24931.66,3,0.798,1,6,0,defective,0
CASE-0166,306.16,4,0,0,1,0,9,344.81,0,0.041,0,4,2,unauthorized,1
CASE-0167,4340.84,8,3,0,1,0,6,6822.64,2,0.608,0,4,2,item_not_received,1
CASE-0168,26983.0,6,0,2,1,27,83,48820.46,0,0.261,0,3,3,item_not_received,0
CASE-0169,40267.17,18,0,1,0,9,6,28304.15,14,0.235,0,4,2,defective,0
CASE-0170,943.93,85,3,0,0,6,5,2350.53,3,0.359,2,2,4,unauthorized,0
CASE-0171,98681.77,16,2,0,0,24,24,185165.33,10,0.297,2,4,2,defective,0
CASE-0172,799.16,18,0,0,1,0,83,625.62,6,0.142,0,6,0,unauthorized,1
CASE-0173,430.94,3,1,1,1,0,11,1039.25,0,0.205,0,4,2,unauthorized,1
CASE-0174,80433.25,3,8,0,1,0,19,161654.33,4,0.6,0,4,2,duplicate,0
CASE-0175,105228.86,1,0,0,1,0,24,137074.23,0,0.156,0,5,1,item_not_received,1
CASE-0176,89607.92,19,0,0,1,19,14,35304.85,9,0.374,0,3,3,unauthorized,1
CASE-0177,131039.15,6,0,0,1,0,60,321537.02,0,0.094,5,3,3,item_not_received,1
CASE-0178,20727.93,17,0,0,1,0,1,7479.91,0,0.199,0,4,2,unauthorized,1
CASE-0179,16595.73,2,0,0,1,0,5,17707.28,0,0.403,0,2,4,unauthorized,1
CASE-0180,53952.37,13,0,0,1,0,1,53911.8,0,0.192,0,5,1,item_not_received,1
CASE-0181,1301.75,16,3,0,1,0,4,3058.2,1,0.243,0,4,2,item_not_received,1
CASE-0182,9754.34,10,3,0,1,1,6,13354.99,4,0.438,0,6,0,unauthorized,1
CASE-0183,887.58,3,0,0,1,0,22,874.73,1,0.071,0,5,1,unauthorized,1
CASE-0184,1887.61,17,5,1,1,0,44,1141.03,3,0.843,0,5,1,unauthorized,0
CASE-0185,31263.09,82,5,5,0,21,29,64711.08,1,0.379,2,2,4,duplicate,0
CASE-0186,1471.68,50,1,1,1,0,57,2090.17,2,0.398,1,4,2,other,1
CASE-0187,1854.68,3,2,0,1,0,9,2321.45,4,0.198,0,5,1,duplicate,1
CASE-0188,431.08,1,1,1,1,0,4,131.61,0,0.502,0,5,1,defective,1
CASE-0189,1150.08,1,0,0,1,0,28,1627.59,13,0.221,0,6,0,item_not_received,1
CASE-0190,10496.7,4,1,0,0,10,74,23152.91,4,0.069,0,1,5,item_not_received,0
CASE-0191,19839.92,66,0,0,1,14,45,39691.54,6,0.056,0,5,1,defective,1
CASE-0192,595.25,9,0,1,1,0,10,840.76,14,0.2,2,5,1,item_not_received,1
CASE-0193,613.52,12,3,2,0,8,7,1002.53,2,0.651,0,3,3,defective,0
CASE-0194,982.64,4,0,0,1,3,1,529.54,4,0.088,0,5,1,duplicate,1
CASE-0195,5628.61,24,2,0,0,9,5,11820.98,3,0.368,0,1,5,defective,0
CASE-0196,37652.16,77,0,0,1,0,18,22660.39,9,0.08,1,4,2,item_not_received,1
CASE-0197,1021.25,2,5,0,1,0,16,659.89,6,0.554,2,6,0,defective,1
CASE-0198,12403.02,4,0,2,1,0,4,3951.79,0,0.066,0,4,2,defective,1
CASE-0199,14201.98,48,0,0,0,17,18,21380.62,2,0.091,0,2,4,unauthorized,0
CASE-0200,1590.85,12,0,1,1,20,3,1477.49,0,0.145,3,6,0,defective,0
CASE-0201,53471.09,2,5,2,0,26,23,25424.79,2,0.621,0,5,1,item_not_received,0
CASE-0202,1151.21,12,2,0,1,0,7,620.71,2,0.443,0,6,0,defective,1
CASE-0203,19054.53,2,1,1,0,19,17,33660.41,2,0.206,2,3,3,defective,0
CASE-0204,12330.26,15,0,0,1,0,29,23326.1,4,0.092,2,5,1,unauthorized,1
CASE-0205,11681.24,13,8,0,0,16,11,28401.65,4,0.942,0,2,4,item_not_received,0
CASE-0206,15376.73,62,3,0,1,0,29,12846.43,1,0.407,0,5,1,unauthorized,1
CASE-0207,423.0,79,1,0,1,29,10,601.52,7,0.366,1,6,0,item_not_received,1
CASE-0208,9686.28,8,0,7,1,6,25,7341.97,14,0.463,0,6,0,duplicate,1
CASE-0209,1229.42,19,0,0,1,0,25,2235.15,4,0.135,3,5,1,item_not_received,1
CASE-0210,444.74,14,0,2,1,10,14,852.28,1,0.307,0,3,3,unauthorized,1
CASE-0211,11816.06,4,9,0,1,9,15,10318.92,0,0.914,1,4,2,other,0
CASE-0212,924.19,10,3,2,1,26,5,712.07,2,0.379,0,5,1,other,1
CASE-0213,12242.75,22,0,2,1,0,13,18155.42,3,0.139,0,5,1,item_not_received,1
CASE-0214,630.97,14,0,0,0,4,2,986.46,4,0.171,1,2,4,item_not_received,1
CASE-0215,1616.73,13,0,2,0,0,3,616.09,8,0.266,0,2,4,item_not_received,0
CASE-0216,1184.27,2,0,0,1,3,20,2200.99,2,0.17,0,2,4,item_not_received,1
CASE-0217,3425.95,11,6,0,0,12,4,2717.86,0,0.781,0,3,3,other,0
CASE-0218,5806.48,6,0,0,1,0,6,8083.16,0,0.036,0,5,1,defective,1
CASE-0219,4773.29,14,0,0,1,9,60,2623.96,3,0.304,0,5,1,item_not_received,1
CASE-0220,9642.01,8,0,0,1,0,41,19061.35,5,0.075,0,4,2,defective,1
CASE-0221,3068.53,60,0,0,1,0,6,6189.62,1,0.149,0,4,2,other,1
CASE-0222,749.62,20,0,2,0,0,49,1698.21,4,0.025,0,3,3,other,1
CASE-0223,53609.94,7,0,1,1,0,84,111755.75,11,0.263,6,4,2,unauthorized,0
CASE-0224,72421.37,9,0,0,1,0,33,165422.78,5,0.129,0,5,1,unauthorized,1
CASE-0225,8930.01,17,0,1,0,22,10,22157.76,14,0.193,0,4,2,other,0
CASE-0226,78719.11,21,3,0,1,0,4,124778.22,8,0.52,0,6,0,unauthorized,1
CASE-0227,90189.45,16,5,0,0,28,3,146112.75,2,0.38,2,2,4,unauthorized,0
CASE-0228,125540.09,35,9,0,1,0,51,108009.99,3,0.996,0,4,2,item_not_received,0
CASE-0229,730.38,56,0,0,1,0,26,609.93,4,0.128,0,5,1,defective,1
CASE-0230,105712.6,11,0,0,0,29,3,256643.2,0,0.207,2,4,2,item_not_received,0
CASE-0231,11845.99,3,0,1,0,22,4,16583.28,1,0.143,0,1,5,item_not_received,1
CASE-0232,792.94,9,1,0,1,0,25,367.05,4,0.12,0,5,1,defective,0
CASE-0233,2917.23,73,2,0,1,0,2,4451.86,0,0.062,0,5,1,item_not_received,1
CASE-0234,1379.52,17,0,0,1,28,59,1962.55,0,0.055,2,2,4,duplicate,0
CASE-0235,19009.17,12,0,0,1,0,41,29093.67,1,0.238,2,5,1,unauthorized,1
CASE-0236,54271.6,4,0,6,1,0,15,16411.87,3,0.062,2,4,2,unauthorized,0
CASE-0237,18846.72,10,2,0,0,13,6,22775.8,6,0.342,0,2,4,item_not_received,0
CASE-0238,1891.23,1,0,0,1,0,6,1314.97,2,0.218,0,3,3,item_not_received,1
CASE-0239,877.29,19,2,2,0,13,1,1072.65,0,0.271,0,3,3,defective,0
CASE-0240,1323.05,2,3,0,1,23,5,1540.41,4,0.641,0,5,1,unauthorized,1
CASE-0241,1643.01,18,0,0,1,13,12,1832.56,3,0.204,0,4,2,item_not_received,1
CASE-0242,682.34,5,0,2,0,0,29,1208.1,0,0.239,0,3,3,item_not_received,0
CASE-0243,649.1,80,9,0,0,28,5,1586.73,2,0.853,0,3,3,unauthorized,0
CASE-0244,14386.69,2,1,0,1,24,17,16050.13,14,0.393,5,5,1,duplicate,0
CASE-0245,1222.44,14,1,0,1,24,10,1320.9,3,0.209,2,4,2,duplicate,1
CASE-0246,91975.38,17,0,0,1,0,21,196835.59,3,0.494,0,6,0,other,1
CASE-0247,147743.82,1,3,2,1,25,22,206894.1,2,0.265,0,4,2,item_not_received,0
CASE-0248,2452.76,16,6,2,1,0,54,854.84,1,0.519,0,5,1,other,0
CASE-0249,901.5,11,0,1,1,0,2,616.04,3,0.134,1,4,2,item_not_received,1
CASE-0250,15997.39,15,7,0,1,0,13,24586.4,0,1.0,0,4,2,item_not_received,0
CASE-0251,34479.8,3,0,0,1,29,19,56506.83,8,0.046,0,5,1,duplicate,1
CASE-0252,142680.28,52,0,2,1,0,1,309120.68,0,0.325,1,5,1,unauthorized,1
CASE-0253,1978.21,1,0,1,1,0,21,1368.3,13,0.125,0,5,1,other,1
CASE-0254,906.29,1,0,2,1,0,48,2225.2,2,0.417,0,5,1,item_not_received,1
CASE-0255,829.28,12,1,0,1,9,6,1673.82,0,0.286,2,6,0,unauthorized,1
CASE-0256,956.05,1,3,0,1,0,1,1975.03,2,0.388,0,5,1,unauthorized,0
CASE-0257,1351.17,15,8,0,0,23,78,813.47,4,0.806,0,4,2,defective,0
CASE-0258,14163.75,83,1,3,1,4,12,14483.03,13,0.447,0,6,0,defective,1
CASE-0259,134455.81,47,0,2,0,25,27,229666.0,12,0.105,0,3,3,unauthorized,0
CASE-0260,97880.2,67,1,0,1,0,5,219313.4,3,0.109,0,5,1,unauthorized,1
CASE-0261,747.72,10,1,0,1,0,2,1513.31,5,0.635,0,4,2,item_not_received,1
CASE-0262,8633.64,16,3,2,0,14,3,9133.32,3,0.601,0,3,3,item_not_received,0
CASE-0263,1577.03,4,2,5,1,0,11,481.57,0,0.388,0,4,2,item_not_received,1
CASE-0264,14903.64,45,2,5,1,0,2,9105.29,4,0.266,2,6,0,item_not_received,1
CASE-0265,58899.91,17,2,5,0,9,18,116271.2,0,0.143,0,4,2,item_not_received,0
CASE-0266,73128.61,4,7,2,0,15,4,156250.05,13,0.422,0,3,3,defective,0
CASE-0267,254.91,4,0,0,1,24,1,201.26,1,0.083,0,3,3,defective,1
CASE-0268,1054.15,7,3,1,1,14,22,969.78,0,0.416,0,5,1,defective,1
CASE-0269,1012.73,75,8,0,1,0,49,1815.85,4,1.0,1,4,2,item_not_received,1
CASE-0270,117972.33,16,0,0,1,0,12,99052.41,2,0.053,1,4,2,defective,1
CASE-0271,1966.51,1,0,7,0,24,5,4019.29,12,0.312,3,5,1,item_not_received,0
CASE-0272,111640.07,4,7,0,0,13,72,70528.14,1,0.627,6,3,3,defective,0
CASE-0273,33300.68,1,9,0,1,0,36,57778.1,5,0.922,2,6,0,other,0
CASE-0274,15979.93,9,1,0,1,15,21,26339.28,8,0.224,0,5,1,duplicate,1
CASE-0275,824.63,16,0,0,1,0,24,1728.85,14,0.188,0,5,1,other,1
CASE-0276,1796.03,70,0,1,1,0,28,3155.35,2,0.147,0,4,2,item_not_received,0
CASE-0277,299.22,2,3,0,1,0,21,455.49,7,0.473,0,5,1,defective,1
CASE-0278,1158.73,50,0,3,1,0,26,923.36,0,0.225,2,3,3,item_not_received,1
CASE-0279,71567.44,1,0,6,1,3,5,112687.41,3,0.263,0,3,3,duplicate,1
CASE-0280,3544.38,26,1,6,1,25,3,6579.98,5,0.411,1,5,1,defective,1
CASE-0281,11387.8,7,1,2,1,7,9,21407.09,3,0.097,0,3,3,item_not_received,1
CASE-0282,13471.58,3,3,0,1,0,11,19691.15,4,0.535,0,5,1,item_not_received,1
CASE-0283,8496.02,83,0,0,1,19,25,5278.32,0,0.07,0,4,2,duplicate,1
CASE-0284,54316.39,88,9,0,0,26,28,29351.92,3,1.0,0,3,3,item_not_received,0
CASE-0285,8890.25,4,0,0,1,0,24,14648.95,4,0.056,0,5,1,duplicate,1
CASE-0286,1292.92,2,1,0,1,8,17,2217.94,13,0.253,1,6,0,item_not_received,1
CASE-0287,7254.98,8,0,1,1,22,9,13242.77,0,0.293,0,5,1,unauthorized,1
CASE-0288,716.14,13,0,1,1,0,24,1206.79,11,0.087,1,5,1,other,1
CASE-0289,112400.07,4,6,0,1,0,21,240152.44,1,0.66,0,6,0,item_not_received,1
CASE-0290,962.35,1,3,0,1,20,19,791.51,3,0.336,0,4,2,other,0
